Accuracy,Precision,Recall,F1-score,ROC-AUC,Confusion Matrix,Dataset,Model,Best Params
0.8290322580645161,0.8865456486919381,0.8625974025974026,0.8744075829383886,0.8084663313565047,"[[1305  425]
 [ 529 3321]]",Cleaned,Decision Tree,"{'criterion': 'gini', 'max_depth': 10}"
0.8220430107526882,0.8758221520652459,0.8646753246753247,0.8702130440465299,0.795921477366564,"[[1258  472]
 [ 521 3329]]",Cleaned,Naive Bayes,Default
0.6885304659498208,0.8480553724456164,0.6683116883116883,0.7475305055200465,0.7009188499361909,"[[1269  461]
 [1277 2573]]",Cleaned,KNN,"{'n_neighbors': 3, 'weights': 'distance'}"
0.8304659498207886,0.8997797356828194,0.8488311688311688,0.8735632183908046,0.819213272276856,"[[1366  364]
 [ 582 3268]]",Standardized,Decision Tree,"{'criterion': 'entropy', 'max_depth': 10}"
0.8163082437275986,0.9116875546487905,0.8124675324675324,0.8592226342535366,0.8186615118985061,"[[1427  303]
 [ 722 3128]]",Standardized,Naive Bayes,Default
0.725089605734767,0.8789267015706806,0.6976623376623377,0.7778743121922965,0.7418947526461978,"[[1360  370]
 [1164 2686]]",Standardized,KNN,"{'n_neighbors': 3, 'weights': 'distance'}"
0.8263440860215053,0.8960681880670882,0.8464935064935065,0.8705756644851075,0.8139981983334584,"[[1352  378]
 [ 591 3259]]",Normalized,Decision Tree,"{'criterion': 'gini', 'max_depth': 10}"
0.8159498207885305,0.9116360454943132,0.811948051948052,0.8589091908229153,0.8184017716387658,"[[1427  303]
 [ 724 3126]]",Normalized,Naive Bayes,Default
0.7048387096774194,0.8670443185604798,0.6758441558441558,0.7595971391037805,0.7226041588469334,"[[1331  399]
 [1248 2602]]",Normalized,KNN,"{'n_neighbors': 3, 'weights': 'distance'}"
