iter	Passed	Remaining
401	13160	19577
402	13209	19568
403	13279	19591
404	13347	19609
405	13398	19603
406	13459	19610
407	13508	19600
408	13575	19616
409	13628	19612
410	13668	19587
411	13706	19561
412	13758	19554
413	13801	19536
414	13843	19514
415	13884	19491
416	13924	19467
417	13962	19440
418	14004	19419
419	14044	19395
420	14080	19364
421	14118	19338
422	14172	19331
423	14212	19307
424	14250	19280
425	14296	19263
426	14342	19246
427	14378	19216
428	14418	19191
429	14456	19163
430	14499	19141
431	14539	19116
432	14620	19145
433	14662	19122
434	14708	19104
435	14762	19095
436	14808	19077
437	14852	19057
438	14901	19042
439	14949	19026
440	14987	18997
441	15032	18977
442	15074	18953
443	15114	18926
444	15161	18909
445	15218	18903
446	15278	18901
447	15346	18909
448	15409	18910
449	15464	18900
450	15515	18886
451	15570	18877
452	15642	18888
453	15711	18895
454	15759	18877
455	15807	18858
456	15865	18851
457	15917	18836
458	15973	18826
459	16020	18807
460	16069	18788
461	16114	18765
462	16158	18741
463	16201	18715
464	16260	18708
465	16305	18684
466	16348	18658
467	467	16590	18468	468	16631	18469	469	16679	18470	16526	18561
471	471	16778	18472	472	16822	18473	473	16864	18474	474	16904	18475	475	16949	18476	476	17004	18477	477	17049	18478	478	17096	18479	479	17149	18480	480	17194	18481	481	17235	18482	482	17292	18483	483	17337	18484	484	17382	18485	485	17435	18486	486	17476	18487	487	17517	18488	488	17559	18489	489	17602	18490	490	17662	18491	491	17720	18492	492	17755	18493	493	17799	18494	494	17843	18495	495	17887	18496	496	17924	18497	497	17973	18498	498	18027	18499	499	18079	18500	500	18127	18501	501	18177	18502	502	18219	18503	503	18259	17504	504	18301	17505	18145	17714
506	506	18391	17507	507	18428	17508	18274	17628
