iter	Logloss
0	0.621047018
1	0.5646608264
2	0.5230053525
3	0.4904271885
4	0.4647497804
5	0.4441899115
6	0.4283286111
7	0.4157761775
8	0.4054853778
9	0.3971342159
10	0.3907469007
11	0.3856010446
12	0.3807298667
13	0.3767203849
14	0.3732760077
15	0.3706311788
16	0.3684073988
17	0.3657007289
18	0.3634291722
19	0.3614934804
20	0.3596549939
21	0.3582728397
22	0.3568600919
23	0.3556643247
24	0.3543927601
25	0.3534644307
26	0.3524048958
27	0.3514754256
28	0.3507398235
29	0.3500268897
30	0.3491920739
31	0.3484310207
32	0.3476783114
33	0.347128488
34	0.3464857758
35	0.3460595105
36	0.3455140294
37	0.3449592975
38	0.3444526213
39	0.3439044665
40	0.3435220051
41	0.3431629983
42	0.3426741473
43	0.3422343295
44	0.3418075608
45	0.3415001509
46	0.3411484097
47	0.3406837881
48	0.3403021793
49	0.3399219712
50	0.3395453174
51	0.3390791446
52	0.3386420763
53	0.3382903462
54	0.3381426568
55	0.3377623313
56	0.3374349093
57	0.3370718196
58	0.3368600021
59	0.3364955887
60	0.3362652385
61	0.3360517257
62	0.3357912594
63	0.3355401501
64	0.3353593831
65	0.3350608778
66	0.3348187936
67	0.3345746222
68	0.3343327464
69	0.3340887923
70	0.3338231723
71	0.3335389448
72	0.333395483
73	0.3332277999
74	0.3328996614
75	0.3326479921
76	0.3324369494
77	0.3322154963
78	0.3319450434
79	0.3315995728
80	0.3314306557
81	0.3311676789
82	0.3309309447
83	0.3306215132
84	0.3303802735
85	0.3303647596
86	0.3300587419
87	0.3298677966
88	0.3296130972
89	0.3294999333
90	0.3293897598
91	0.3292856425
92	0.3292836267
93	0.3290597169
94	0.3288163173
95	0.3286481712
96	0.3284029338
97	0.3282971532
98	0.3280337269
99	0.3277519907
100	0.3275144128
101	0.3271928363
102	0.3270854137
103	0.3268964874
104	0.326781395
105	0.3264549314
106	0.3261181555
107	0.3259515085
108	0.3257117195
109	0.3255156242
110	0.3252461257
111	0.324981917
112	0.3248491685
113	0.3247009069
114	0.3243958514
115	0.3242466108
116	0.3240146075
117	0.3238815937
118	0.3235637283
119	0.3232607171
120	0.3231027893
121	0.3228560096
122	0.3226250128
123	0.322328047
124	0.3221948951
125	0.3219927182
126	0.3217419851
127	0.3215570754
128	0.3213253303
129	0.3210956193
130	0.3210037562
131	0.3208638122
132	0.3207016482
133	0.320522213
134	0.3204164142
135	0.3203317615
136	0.3201251188
137	0.3198641149
138	0.3196104326
139	0.319412737
140	0.31936751
141	0.3193339763
142	0.3191824867
143	0.3190457092
144	0.3188555702
145	0.3186072167
146	0.3184635883
147	0.3182806039
148	0.3181741329
149	0.3179801336
150	0.3179321991
151	0.3178235293
152	0.3176137396
153	0.3173468258
154	0.3171077055
155	0.3169837088
156	0.3168867956
157	0.3166252175
158	0.3164775886
159	0.3163529818
160	0.3161592369
161	0.3161166378
162	0.3159297746
163	0.3157328365
164	0.3155280856
165	0.3152751269
166	0.3150600727
167	0.3149020889
168	0.3147407232
169	0.3145305075
170	0.3143376858
